Date,BTC Price,BTC Max,BTC Min,BTC Vol,ETH Price,ETH Max,ETH Min,ETH Vol,XRP Price,XRP Max,XRP Min,XRP Vol,LTC Price,LTC Max,LTC Min,LTC Vol
20160221,439,443.190002,420,49773.3542,3923.16001,4.469,4.62,4.11000001,6.8989979,0.00796831,0.00839997,0.00789632,141.05352,3.6,3.6,3.18935853
20160222,432.000025,445,420.489999,32028.0281,8682.68217,4.89600597,5.4,4.332475,574.054005,0.00830997,0.00831196,0.00794,44.7837617,3.56786944,3.60880257,3.27110001
20160223,423.33,441,418.49,42982.2686,31089.8048,5.54342372,6,4.75548639,0.11795097,0.00830997,0.00830997,0.00765001,79.8031076,3.49379403,3.49379403,3.24240452
20160224,413.075148,428,411,36678.4929,13200.003,5.50999999,5.85,5.3,8.17319588,0.00814999,0.00814999,0.00814999,359.66113,3.28531295,3.49379401,3.28531295
20160225,402.000004,422.7,384.02,63426.7719,66246.1502,6.1,6.1,5.42803848,99.4922184,0.00771047,0.00815,0.00754857,2125.42969,3.13366337,3.36379358,3.05
20160226,423.045169,425.701817,397.059999,58609.4203,81278.7651,6.18998999,6.299,5.37000002,171.488757,0.00798461,0.00823425,0.00793686,116.521479,3.39299237,3.39299237,3.13366337
20160227,429,434.99999,420.000019,27148.3535,13993.93,6.26299999,6.263,5.72173758,134.949683,0.00786,0.00822723,0.00786,460.231674,3.401,3.401,3.21850916
20160228,424.935003,433.491557,420.001,21612.597,38782.7387,6.33134215,6.5,6.11268334,68.2414803,0.00815473,0.00815473,0.0078,67.7826365,3.29411868,3.43637935,3.29411868
20160229,435,439.44,380.99999,75623.9822,19669.3538,6.48040739,6.6,6.33134233,0.81776379,0.00815469,0.00815473,0.00751521,639.656883,3.4,3.48999999,3.27941177
20160301,437.425983,441.304648,428.199999,29131.0022,16421.0149,6.44999707,6.55727927,6.09,528.005364,0.00790004,0.00815476,0.00760056,482.293503,3.36000837,3.5,3.30000096
20160302,432.363431,442.899999,424.73,53073.3185,69948.076,7.44952821,7.94299999,5.1601,1328.81813,0.00820802,0.00827973,0.0078,625.384296,3.38300478,3.5,3.3600261
20160303,421.301344,437.999999,418.721,47565.7743,25649.2717,9.26966925,9.71137498,7.44628544,720.730666,0.00783868,0.00815454,0.00782682,892.308947,3.26000294,3.48000489,3.26000037
20160304,422.795428,437.494444,408.089999,87028.3064,64925.4724,9.38899992,9.99999998,7.6,2524.99075,0.00844917,0.00845736,0.00782001,1989.93566,3.22381476,3.46100458,3.1000002
20160305,393.999605,424.999999,390,87850.8814,37256.9285,10.4179545,10.4754,8.70000101,479.232784,0.0084103,0.00844887,0.00757023,2330.04239,3.05511294,3.39299536,3.02101127
20160306,403.5,410,378.88,147969.78,160035.491,11.7876078,12.3,9.886,347.540998,0.0078521,0.00788694,0.00716205,1744.73617,3.25985527,3.25986227,3
20160307,405,433,397,80952.3405,77802.0988,10.2100012,11.8045134,9.79999999,2862.26445,0.00765072,0.00808493,0.00735232,286.205553,3.23999997,3.33688059,3.10002351
20160308,411.799999,420.026881,403.79,74665.9989,77528.0409,9.49000002,10.5,8.4842003,1500.75576,0.0079321,0.00794334,0.00764545,585.006404,3.26999999,3.27,3.17
20160309,414.298,414.593698,402.830428,47327.1805,34523.7388,10.9579062,10.9579063,9.09862898,152.784722,0.00811038,0.00812037,0.00765447,525.099707,3.21494986,3.27,3.10000063
20160310,413.238329,415,401,83783.8671,68849.1605,11.8016002,12.209,10.0142007,216.615463,0.00799729,0.0084789,0.00769831,1178.43485,3.17001097,3.27,3.17001097
20160311,420,421.13,408.8,60716.6509,53174.4187,10.5899998,11.9599999,10.3,546.970612,0.00836239,0.00863301,0.00800298,87.8016484,3.37024,3.37024,3.17001218
20160312,412.62,424.444751,407.5,82243.0904,106201.677,13.00342,13.755,10.5201001,106.803336,0.00811535,0.00969388,0.00811535,668.857489,3.1790081,3.42499941,3.1790012
20160313,415,417.988979,406.572969,76515.0901,82731.0253,14.469122,14.7048258,12.4212028,646.264658,0.00888955,0.00895229,0.0081,219.73273,3.3,3.32340022,3.19341929
20160314,413.52,420,399,134925.683,162820.687,13.3,15,11.3921416,17.1939721,0.0087844,0.00887131,0.00810005,1058.06059,3.27999999,3.30999026,3.17001041
20160315,413.8,419.999999,385,102087.393,102815.732,12.65,14.98,11.9,3627.35552,0.00810007,0.00850486,0.00810004,231.067823,3.32547628,3.32547628,3.1700111
20160316,413.826413,418.469999,408.05,40375.5237,20113.4743,13.27,13.5,12,454.767898,0.0079,0.00837544,0.00720101,22.0544699,3.21000631,3.34999027,3.20585781
20160317,417.417,419.98,410.87,29424.1528,16281.791,11.95,13.6,11.9,63.5144247,0.00822,0.00822,0.00790344,70.672217,3.25000144,3.32964695,3.2182148
20160318,414.200004,428.852471,413.240789,90303.1939,91671.0788,10.4798999,12.1772062,10.1899999,289.960496,0.0081,0.00841887,0.0079,285.714453,3.28799899,3.32964696,3.16799898
20160319,407,418.18,395.0001,139333.654,127233.582,10.15,10.9709261,8.41290001,37.5061949,0.00783571,0.00841625,0.00783511,80.0736148,3.09510128,3.28799899,3.062
20160320,408.89,416.795,400,67888.7163,26777.1378,10.2689054,11.0350692,9.85010001,585.207012,0.00809849,0.00812953,0.00782,95.5714118,3.19677767,3.22979357,3.0951
20160321,406.324706,415.711296,405.2,39605.7268,25609.7329,11,11,9.62,2999.07605,0.00812146,0.00812822,0.00778,550.072953,3.12,3.27,3.1
20160322,413.05,414.53155,402.92,60106.0705,46961.8799,11.6048169,11.9999999,10.65,360.921225,0.00812743,0.00812834,0.007905,11.897664,3.19,3.19999988,3.12000014
20160323,416.416004,420.25802,411.812,49217.0607,28145.3982,11.78171,12.1478078,10.9,499.222854,0.00813993,0.00813993,0.00791477,529.794159,3.23,3.24709185,3.12300343
20160324,415.852,423,415.816,30119.2262,25611.0323,11.2212846,12.499,11.2186843,96.6534478,0.00825647,0.00851065,0.00813993,63.0799067,3.2150014,3.27799877,3.17007329
20160325,416.7,423.814428,413.501087,49024.4088,24702.4672,10.7474371,11.6730945,10.6,75.2978687,0.008,0.00843506,0.008,306.767415,3.18889257,3.26,3.17515107
20160326,419,420.591174,414,14569.3466,6274.47606,10.8879179,11.1982533,10.2700855,27.275921,0.00800841,0.00821977,0.00800826,30.4974737,3.30000105,3.31421723,3.18889432
20160327,418.989899,420.58,413.93,15783.0193,9764.22652,10.87,11.0438018,10.5736901,26.4566056,0.00800381,0.00813798,0.00800381,32.9503684,3.18890776,3.25649193,3.1889075
20160328,426.649999,428.999999,415.830515,55959.5834,21808.5269,11.2976835,11.4033526,10,655.00475,0.00781008,0.00812159,0.0078101,417.286042,3.40645649,3.419,3.21000035
20160329,425.152181,428.752091,420,51183.6266,35036.4271,11.5799999,11.88,10.8621073,1852.15756,0.00778431,0.00800009,0.00715,132.21607,3.23280001,3.40645611,3.21003688
20160330,415,428.5,410,132508.13,50499.9868,11.9,12,11.4367454,353.457258,0.00783555,0.00785127,0.00734236,904.258418,3.17195821,3.29745576,3.15666717
20160331,418.3,419.399824,410.05,40600.9449,16375.5839,11.8600001,12.1788317,11.6988554,524.398424,0.00737894,0.007836,0.00690113,252.705916,3.2160109,3.24999236,3.18100893
20160401,417.0166,420.422596,415.751,22663.6249,6682.18251,11.6367477,12,11.2719111,461.535989,0.00749067,0.00757907,0.00731134,1047.41268,3.25579759,3.29286761,3.20947326
20160402,423.149999,424,416.000003,32642.8621,3097.43458,11.4300005,11.9499999,11.4174186,29.3321092,0.00748509,0.0075,0.00707141,298.811418,3.24600001,3.3,3.21941138
