BTC,BTCVOL,LTC,LTCVOL,ETH,ETHVOL,,
3427.912126,1739.304144,46.00314,6487.397158,270.8457214,10916.54427,,
3447.934404,1385.578547,46.010163,7294.148701,272.3645801,6602.784017,,
3437.073187,1212.303707,46.187289,2861.646683,272.0436559,3216.149852,,
3409.197389,1034.746757,46.186642,2557.811488,271.725565,7305.314268,,
3383.755713,734.3738511,46.099611,3641.939372,268.4045226,2595.760354,,
3374.30208,957.1778462,45.862415,3367.8439,267.4632744,6180.548219,,
3397.669226,1254.132056,45.868934,12294.67843,269.6921232,6352.303568,,
3372.428922,658.3606745,45.742526,1573.891299,266.7570646,5987.507409,,
3354.592043,937.4776373,45.608814,4171.526293,265.8584657,6268.483839,,
3361.454753,1467.556385,45.762194,1804.830161,266.8284945,6127.962836,,
3348.450625,1251.13676,45.770541,1959.52452,268.1534395,3258.152614,,
3341.12641,1236.212966,45.802776,3123.987682,266.6463795,6123.459358,,
3355.316854,1618.172938,45.963521,2443.264691,268.6296888,9581.284374,,
3373.363784,729.6156565,45.964527,3920.554451,271.030352,4368.849532,,
3378.266949,627.449083,45.890441,3588.952743,272.1179488,1982.951771,,
3373.902314,1004.154942,45.897681,4541.65428,271.4788151,5204.791609,,
3397.221889,1296.038886,46.404444,6002.834706,271.8349763,8410.318229,,
3395.741961,2453.397595,46.255487,8196.337697,271.7699091,13206.84684,,
3344.973833,3653.797262,45.869752,13236.7887,270.2165579,20081.99494,,
3278.796152,471.0248356,45.236514,729.954131,265.1244816,5095.353909,,
3272.559565,669.3226677,45.305484,1211.794681,262.3601258,3089.374727,,
3253.935022,597.4909968,45.331991,1407.623373,260.8837095,6205.588947,,
3243.178308,513.2044331,45.364555,1247.646309,262.6990774,1951.165238,,
3251.143105,322.2236209,45.588255,3119.484427,263.8893027,2044.158088,,
3250.029964,342.121629,45.567094,2686.91804,264.2819904,1991.828768,,
3244.022383,439.3407813,45.369928,1994.512986,263.6508989,3204.340726,,
3248.705739,547.3665197,45.367193,3002.115169,264.9455544,5134.8559,,
3229.742944,699.4652359,45.386814,3388.28013,261.6597353,5623.947898,,
3205.733941,1041.842289,45.632805,5347.866319,259.7279114,7837.187239,,
3226.165791,698.8224285,45.610286,3694.602259,263.7309447,7203.606372,,
3237.136408,1084.582321,45.370104,3580.541058,266.5313858,10393.01336,,
3256.554955,460.6442793,45.341547,2841.14376,269.7170324,6352.947089,,
3254.671388,987.9076719,45.044225,4362.552358,269.4935306,11590.53359,,
3280.042033,614.2149664,45.133526,5776.261465,269.4140145,17517.05959,,
3280.014911,419.6437482,45.280699,3202.616269,264.9815366,6219.835396,,
3276.19886,360.1953768,45.495399,1201.530312,264.2992209,4100.27444,,
3279.928197,562.5993612,45.656547,8712.462458,265.9986046,10986.14436,,
3287.076964,1374.047184,45.608036,22117.35085,264.9830858,13358.05529,,
3251.890551,709.0555358,45.874068,4012.98647,261.4463297,6911.95737,,
3240.787913,908.1416362,46.049268,3814.739114,259.2143617,9000.595632,,
