BPRICE,BMAX,BMIN,BVOL,EPRICE,EMAX,EMIN,EVOL,XPRICE,XMAX,XMIN,XCOL,LPRICE,LMAX,LMIN,LVOL
"2,600.00","2,726.70","2,541.20","37,678,688.00","24,281,983.70",308,344.5,290,"4,707,667.60",0.3,0.3,0.3,"5,453,336.70",44,45.5,41.5
"2,685.00","2,714.80","2,569.30","18,261,863.70","7,858,823.10",326,331,306.6,"2,471,525.10",0.3,0.3,0.3,"4,410,926.80",45.9,48.1,43.7
"2,670.90","2,720.00","2,650.00","13,126,178.10","4,401,252.30",324,330.6,321.5,"2,972,827.00",0.3,0.3,0.3,"2,209,222.10",44,46,43.4
"2,518.10","2,675.00","2,431.70","40,488,785.70","17,298,911.10",298.3,324.5,284.4,"3,671,235.80",0.3,0.3,0.3,"3,750,756.50",41.9,44.6,40
"2,382.00","2,602.10","2,358.00","45,029,154.50","28,771,069.80",251.9,307,251.2,"2,508,351.40",0.2,0.3,0.2,"4,969,427.60",37.6,44,37.3
"2,330.00","2,463.10","2,192.00","76,914,761.20","55,347,748.10",231,263.5,206.2,"5,157,041.30",0.2,0.3,0.2,"6,970,742.00",35,39,32.7
"2,475.00","2,516.00","2,168.30","58,889,497.10","48,413,147.40",276,280.9,204,"3,700,624.10",0.3,0.3,0.2,"5,252,927.00",38.9,39.9,32.4
"2,506.90","2,560.80","2,428.90","31,902,377.00","35,553,726.60",307.2,318.5,268.6,"2,629,842.40",0.3,0.3,0.2,"5,337,245.20",40.7,42.6,38.4
"2,443.00","2,539.60","2,399.00","31,387,160.90","34,523,109.60",284.7,307.9,275,"2,277,048.80",0.2,0.3,0.2,"3,261,301.70",38.7,41.1,38
"2,432.20","2,510.00","2,357.60","25,743,158.10","25,371,086.00",264.5,302,255.5,"2,708,475.80",0.2,0.3,0.2,"2,168,461.10",38.4,40.8,37.6
"2,352.40","2,442.00","2,284.00","25,824,106.20","23,325,965.60",257.5,275.5,241,"1,398,624.30",0.2,0.2,0.2,"2,272,545.80",37.3,38.7,35.2
"2,426.40","2,465.00","2,340.80","23,803,556.40","25,505,193.20",268.7,286,250.7,"1,029,548.50",0.2,0.3,0.2,"5,736,763.60",43.8,44.5,37.1
"2,614.00","2,631.30","2,421.40","37,123,004.90","17,247,931.00",280.7,284.8,266.7,"2,059,410.70",0.3,0.3,0.2,"13,819,593.60",49.9,51.7,42.2
"2,498.10","2,618.80","2,480.60","23,921,264.10","12,885,805.90",258.4,283.7,255.1,"1,571,050.80",0.2,0.3,0.2,"16,797,992.80",50.3,55.4,48.1
"2,585.00","2,619.90","2,492.00","17,784,244.50","12,851,046.30",268.7,272,250.7,"1,035,474.10",0.2,0.3,0.2,"8,382,279.90",50.4,53.5,48.5
"2,521.00","2,602.90","2,509.90","18,476,908.60","7,170,957.50",253.2,273.1,252.1,"1,116,278.50",0.2,0.3,0.2,"5,268,657.70",47.3,51.7,46.4
"2,448.50","2,531.40","2,420.00","30,920,642.60","15,911,632.00",236.1,256.1,227.5,"1,878,375.40",0.2,0.2,0.2,"7,544,477.10",45,48.3,43.2
"2,515.00","2,559.00","2,443.60","17,587,402.20","8,121,003.20",243.2,249,232,"1,286,141.40",0.2,0.2,0.2,"7,557,919.90",49.7,52.1,45
"2,499.00","2,535.70","2,455.60","15,406,455.00","5,965,149.90",236.2,244.4,232,"981,323.50",0.2,0.2,0.2,"4,416,332.00",49.3,50.3,47.3
"2,300.00","2,499.00","2,183.00","63,628,089.90","39,914,730.10",185.8,236.5,170,"4,722,346.50",0.2,0.2,0.1,"11,382,670.40",42.2,49.4,40
"2,281.50","2,375.40","2,195.00","47,611,957.40","33,717,556.60",196.6,208,176,"4,003,833.80",0.2,0.2,0.2,"10,467,491.00",44.6,46.2,40.5
"2,320.60","2,400.00","2,270.10","38,502,054.10","33,150,746.70",203.9,225.7,194,"3,778,525.20",0.2,0.2,0.2,"9,388,265.30",44.4,48.1,44.2
"2,332.40","2,371.80","2,271.10","27,125,526.20","18,917,694.50",201.5,212,190.2,"1,701,441.60",0.2,0.2,0.2,"4,086,336.10",45.3,46.1,43.5
"2,040.10","2,333.00","2,000.00","48,042,446.00","19,910,893.60",185.2,202,180.2,"1,886,114.40",0.2,0.2,0.2,"7,821,279.40",39.2,45.4,38.7
"1,988.20","2,119.00","1,957.00","52,487,747.20","24,747,977.30",159.8,187.9,157.1,"2,118,397.30",0.2,0.2,0.2,"6,863,921.40",39.3,40.9,37.6
"2,045.60","2,088.00","1,835.00","68,301,666.90","55,146,659.70",174.2,180.5,138.2,"6,892,290.40",0.2,0.2,0.1,"9,944,128.70",41.8,42.8,36
"2,253.00","2,287.60","1,968.00","61,909,391.10","53,433,234.50",190.1,194.4,159.5,"5,056,408.60",0.2,0.2,0.1,"10,218,672.30",42.8,43.4,39.6
"2,376.00","2,409.90","2,204.00","72,884,003.60","105,379,617.00",239.6,265.3,185.2,"4,395,525.20",0.2,0.2,0.2,"8,328,442.00",43.6,45,41.6
"2,312.80","2,399.70","2,210.00","47,695,069.10","78,683,037.20",204.4,243.4,184.9,"3,674,189.20",0.2,0.2,0.2,"5,386,026.10",41.1,44.1,39.2
"2,763.30","2,926.00","2,302.60","140,575,287.00","64,768,210.60",235,240,202,"5,831,142.90",0.2,0.2,0.2,"13,897,116.20",47.2,48,40.6
"2,797.00","2,805.90","2,600.50","49,806,133.20","25,815,804.50",226.2,235.2,210,"2,399,740.30",0.2,0.2,0.2,"3,867,175.80",46.2,47.3,44.1
"2,726.40","2,909.50","2,713.00","64,685,145.60","21,964,923.80",222.6,237.2,221.7,"6,307,919.10",0.2,0.2,0.2,"4,265,138.10",44.1,47.8,44.1
"2,737.30","2,820.00","2,655.00","37,449,274.80","14,449,259.30",224.8,232.7,218.1,"2,901,798.40",0.2,0.2,0.2,"3,005,875.90",44.6,45.9,43.7
"2,664.00","2,815.50","2,625.60","44,879,302.60","14,279,768.20",211.4,229.9,210,"2,227,284.00",0.2,0.2,0.2,"2,950,240.70",42.4,45.7,42.2
"2,483.00","2,705.00","2,417.30","100,830,825.00","38,467,746.00",196,219,190,"3,780,249.30",0.2,0.2,0.2,"6,421,702.20",41.4,43.5,40.1
"2,538.00","2,579.40","2,400.00","40,488,715.20","13,116,174.70",200,206.5,194.1,"1,322,300.50",0.2,0.2,0.2,"2,292,520.80",41.4,42.5,40.5
