BTC Price,BTC Max,BTC Min,BTC Vol,ETH Price,ETH Max,ETH Min,ETH Vol,XRP Price,XRP Max,XRP Min,XRP Vol,LTC Price,LTC Max,LTC Min,LTC Vol
447.1 ,455.7 ,440.0 ,"7,102.4 ","1,661.1 ",1.0 ,1.1 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,3.6 ,3.6 ,3.5 
446.1 ,451.3 ,444.9 ,"6,078.9 ","1,964.6 ",1.1 ,1.2 ,1.0 ,0.3 ,0.0 ,0.0 ,0.0 ,4.2 ,3.5 ,3.5 ,3.5 
439.7 ,448.6 ,424.0 ,"10,934.7 ","2,154.4 ",1.1 ,1.3 ,1.1 ,0.0 ,0.0 ,0.0 ,0.0 ,76.5 ,3.4 ,3.6 ,3.4 
427.4 ,438.7 ,424.0 ,"5,188.0 ",511.8 ,1.1 ,1.1 ,1.1 ,6.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.4 ,0.0 ,0.0 
407.7 ,434.1 ,406.0 ,"7,694.4 ",269.3 ,1.2 ,1.3 ,1.1 ,67.7 ,0.0 ,0.0 ,0.0 ,14.6 ,3.4 ,3.6 ,3.4 
367.7 ,409.5 ,333.6 ,"29,079.4 ","2,063.7 ",1.2 ,1.3 ,1.1 ,73.2 ,0.0 ,0.0 ,0.0 ,"1,714.2 ",3.0 ,3.5 ,2.8 
377.6 ,394.1 ,358.2 ,"17,438.5 ",621.0 ,1.2 ,1.3 ,1.1 ,4.0 ,0.0 ,0.0 ,0.0 ,0.9 ,3.0 ,3.1 ,2.9 
374.0 ,390.0 ,367.1 ,"11,304.1 ","1,510.7 ",1.4 ,1.4 ,1.2 ,0.9 ,0.0 ,0.0 ,0.0 ,705.7 ,2.9 ,3.1 ,2.9 
383.2 ,399.9 ,374.0 ,"23,936.3 ","9,848.4 ",1.4 ,1.6 ,1.3 ,0.6 ,0.0 ,0.0 ,0.0 ,0.2 ,3.1 ,3.1 ,2.9 
389.0 ,389.2 ,376.7 ,"3,998.5 ",706.9 ,1.3 ,1.4 ,1.3 ,94.2 ,0.0 ,0.0 ,0.0 ,55.8 ,3.0 ,3.1 ,3.0 
416.2 ,422.9 ,378.2 ,"18,517.8 ","5,595.4 ",1.5 ,1.7 ,1.4 ,22.3 ,0.0 ,0.0 ,0.0 ,47.6 ,3.2 ,3.4 ,3.1 
400.4 ,420.0 ,389.0 ,"4,267.2 ",879.9 ,1.5 ,1.6 ,1.5 ,0.0 ,0.0 ,0.0 ,0.0 ,48.7 ,3.2 ,3.3 ,3.2 
391.7 ,404.1 ,375.0 ,"9,220.5 ","1,714.7 ",1.7 ,1.8 ,1.5 ,27.7 ,0.0 ,0.0 ,0.0 ,410.9 ,3.1 ,3.2 ,3.0 
392.5 ,404.4 ,378.8 ,"16,813.0 ","9,016.6 ",2.2 ,2.2 ,1.7 ,56.3 ,0.0 ,0.0 ,0.0 ,14.1 ,3.1 ,3.2 ,3.1 
399.2 ,407.9 ,392.9 ,"7,822.7 ","8,629.4 ",2.1 ,2.3 ,1.8 ,111.5 ,0.0 ,0.0 ,0.0 ,13.2 ,3.1 ,3.2 ,3.1 
387.2 ,403.9 ,384.9 ,"18,314.2 ","14,850.7 ",2.7 ,2.8 ,1.8 ,16.0 ,0.0 ,0.0 ,0.0 ,"1,028.4 ",3.1 ,3.2 ,3.0 
